ID;BT1;BT2;BT3;BT4;BT5;SB BT;RV1;RV2;RV3;RV4;RV5;SB RV;FECHA
1950;21;30;35;36;41;2;9;19;20;35;39;12;25/12/2019
1951;2;9;17;27;42;11;1;9;20;33;41;9;28/12/2019
1952;24;26;35;36;41;9;8;18;19;22;38;11;01/01/2020
1953;4;9;15;24;29;7;4;8;16;31;37;7;04/01/2020
1954;10;11;15;28;35;11;4;15;17;19;25;1;08/01/2020
1955;1;4;29;32;33;2;10;20;23;28;39;8;11/01/2020
1956;16;28;37;42;43;9;4;13;18;29;37;13;15/01/2020
1957;2;8;9;25;33;12;8;17;18;37;42;11;18/01/2020
1958;1;7;10;25;27;2;4;26;32;36;42;4;20/01/2020
1959;12;22;30;31;34;7;9;16;26;29;31;16;25/01/2020
1960;17;21;32;36;37;3;6;19;31;33;39;5;29/01/2020
1961;1;18;19;34;40;2;2;10;13;16;26;11;01/02/2020
1962;6;14;25;29;42;13;4;8;22;25;28;14;05/02/2020
1963;4;12;15;33;42;3;3;6;7;21;34;5;08/02/2020
1964;10;15;20;32;41;14;6;11;28;34;39;11;12/02/2020
1965;5;8;10;13;20;8;3;27;35;39;42;15;15/02/2020
1966;1;14;18;22;43;6;1;5;15;18;39;7;19/02/2020
1967;19;20;24;34;43;5;5;11;22;27;35;15;22/02/2020
1968;5;8;12;17;43;9;1;11;23;30;32;14;26/02/2020
1969;5;23;26;32;38;11;2;7;15;16;22;4;29/02/2020
1970;4;9;14;31;34;15;5;12;14;15;40;5;04/03/2020
1971;1;4;8;11;36;9;2;10;11;17;22;12;07/03/2020
1972;8;19;25;36;38;6;23;25;26;27;41;9;11/03/2020
1973;11;20;21;38;40;9;3;17;22;35;36;12;14/03/2020
1974;2;3;4;5;29;12;2;14;26;29;40;8;18/03/2020
1975;4;9;20;35;43;5;9;22;25;31;40;15;21/03/2020
1976;5;24;27;32;35;15;5;6;16;18;22;7;29/04/2020
1977;8;11;15;35;40;14;11;19;24;34;39;2;02/05/2020
1978;9;17;28;31;40;2;6;17;30;38;39;3;06/05/2020
1979;24;30;37;38;40;7;13;28;32;41;43;1;09/05/2020
1980;6;10;14;22;29;14;7;32;37;38;41;7;13/05/2020
1981;16;18;26;37;42;2;4;10;18;30;37;6;16/05/2020
1982;3;7;12;13;40;13;2;3;8;17;19;11;20/05/2020
1983;2;11;26;32;41;5;1;5;15;30;40;13;23/05/2020
1984;4;8;18;25;29;7;21;26;30;31;37;3;27/05/2020
1985;1;7;14;35;43;12;7;20;26;32;38;14;31/05/2020
1986;9;12;23;33;36;7;23;25;26;29;41;1;03/06/2020
1987;2;7;9;12;34;16;7;16;26;30;32;7;06/06/2020
1988;7;14;16;18;36;11;1;3;36;39;40;6;10/06/2020
1989;13;25;30;36;41;7;2;9;10;29;31;13;13/06/2020
1990;1;3;8;28;41;15;7;14;19;37;40;13;17/06/2020
1991;5;14;28;31;39;10;14;25;28;34;36;5;20/06/2020
1992;5;29;33;34;39;9;3;12;29;33;37;5;24/06/2020
1993;8;12;16;21;27;16;4;9;25;31;36;15;27/06/2020
1994;1;8;14;23;40;11;7;8;13;27;41;15;01/07/2020
1995;3;30;32;38;41;6;23;24;25;26;38;10;04/07/2020
1996;22;34;36;37;43;12;1;23;24;26;42;9;08/07/2020
1997;10;13;22;26;42;5;1;2;5;30;43;7;11/07/2020
1998;4;5;13;16;41;2;3;19;30;36;39;1;15/07/2020
1999;5;6;7;28;32;16;12;15;29;39;41;4;18/07/2020
2000;2;22;24;27;37;6;15;21;23;36;37;6;22/07/2020
2001;5;12;25;26;43;7;3;11;15;23;26;9;25/07/2020
2002;2;8;14;19;28;7;2;4;6;16;34;12;29/07/2020
2003;7;24;29;30;38;5;2;15;27;28;41;2;01/08/2020
2004;18;24;28;36;40;5;5;27;34;36;39;10;05/08/2020
2005;4;11;22;25;26;8;7;15;26;41;43;9;08/08/2020
2006;1;13;24;27;39;16;8;25;31;33;39;10;12/08/2020
2007;13;29;30;40;42;10;5;15;27;36;38;15;15/08/2020
2008;2;7;14;25;31;10;1;4;10;14;25;14;18/08/2020
2009;7;18;23;31;36;14;1;11;24;32;39;4;22/08/2020
2010;8;17;26;27;31;11;3;19;23;30;40;13;26/08/2020
2011;10;18;21;24;43;16;16;19;20;22;25;6;29/08/2020
2012;3;19;20;21;28;13;4;11;22;34;38;4;02/09/2020
2013;2;10;27;30;31;10;4;8;24;26;32;15;05/09/2020
2014;7;11;16;30;35;3;1;9;18;23;38;6;09/09/2020
2015;10;11;37;40;41;9;8;15;21;27;35;10;12/09/2020
2016;2;19;22;25;37;15;7;15;18;29;32;14;16/09/2020
2017;6;14;21;28;35;2;10;15;21;33;39;7;19/09/2020
2018;10;20;21;34;36;3;8;36;37;38;42;14;23/09/2020
2019;1;5;18;38;41;10;4;13;22;36;37;10;26/09/2020
2020;1;9;13;16;30;5;5;18;29;33;34;6;30/09/2020
2021;9;17;28;35;38;1;8;9;11;36;42;13;03/10/2020
2022;13;22;27;40;41;5;10;13;18;19;37;6;07/10/2020
2023;1;2;15;36;39;4;7;25;29;32;41;7;10/10/2020
2024;5;8;11;16;32;13;5;12;32;34;43;10;14/10/2020
2025;2;21;27;36;40;15;1;5;16;26;29;8;17/10/2020
2026;1;3;26;33;34;10;4;11;12;21;36;8;21/10/2020
2027;19;20;28;40;42;13;6;10;18;27;35;10;24/10/2020
2028;9;19;20;36;37;12;2;5;7;12;22;8;28/10/2020
